age,hours-per-week,workclass,education,marital-status,occupation,relationship,sex,native-country,income
90,40,3.0,11.0,6.0,9.0,1.0,0.0,38.0,0.0
82,18,3.0,11.0,6.0,3.0,1.0,0.0,38.0,0.0
66,40,3.0,15.0,6.0,9.0,4.0,0.0,38.0,0.0
54,40,3.0,5.0,0.0,6.0,4.0,0.0,38.0,0.0
41,40,3.0,15.0,5.0,9.0,3.0,0.0,38.0,0.0
34,45,3.0,11.0,0.0,7.0,4.0,0.0,38.0,0.0
38,40,3.0,0.0,5.0,0.0,4.0,1.0,38.0,0.0
74,20,6.0,10.0,4.0,9.0,2.0,0.0,38.0,1.0
68,40,0.0,11.0,0.0,9.0,1.0,0.0,38.0,0.0
41,60,3.0,15.0,4.0,2.0,4.0,1.0,38.0,1.0
45,35,3.0,10.0,0.0,9.0,4.0,0.0,38.0,1.0
38,45,5.0,14.0,4.0,9.0,1.0,1.0,38.0,1.0
52,20,3.0,9.0,6.0,7.0,1.0,0.0,38.0,1.0
32,55,3.0,12.0,5.0,3.0,1.0,1.0,38.0,1.0
51,40,3.0,10.0,4.0,9.0,1.0,1.0,38.0,1.0
46,40,3.0,14.0,0.0,9.0,1.0,1.0,38.0,1.0
45,76,3.0,1.0,0.0,13.0,1.0,1.0,38.0,1.0
57,50,3.0,12.0,0.0,3.0,1.0,1.0,38.0,1.0
22,40,3.0,7.0,4.0,5.0,1.0,1.0,38.0,1.0
34,50,3.0,9.0,5.0,11.0,1.0,1.0,38.0,1.0
37,40,3.0,9.0,4.0,3.0,1.0,1.0,38.0,1.0
29,42,3.0,1.0,5.0,11.0,1.0,0.0,38.0,0.0
61,25,3.0,11.0,0.0,11.0,4.0,0.0,38.0,0.0
51,40,3.0,15.0,2.0,13.0,0.0,1.0,38.0,0.0
61,32,3.0,11.0,2.0,9.0,0.0,1.0,38.0,0.0
21,40,3.0,8.0,2.0,2.0,0.0,1.0,38.0,0.0
33,32,3.0,3.0,2.0,2.0,1.0,1.0,25.0,0.0
49,40,3.0,4.0,2.0,7.0,0.0,1.0,11.0,0.0
37,50,4.0,0.0,4.0,13.0,1.0,1.0,38.0,1.0
38,90,3.0,0.0,4.0,9.0,1.0,1.0,38.0,1.0
23,40,3.0,15.0,5.0,7.0,1.0,1.0,38.0,1.0
59,50,4.0,0.0,6.0,3.0,4.0,0.0,38.0,1.0
52,60,3.0,14.0,0.0,3.0,1.0,1.0,38.0,1.0
51,50,3.0,9.0,0.0,3.0,1.0,1.0,38.0,1.0
60,50,5.0,11.0,4.0,3.0,1.0,1.0,38.0,1.0
63,60,0.0,10.0,0.0,3.0,1.0,0.0,38.0,1.0
53,48,3.0,11.0,4.0,11.0,1.0,1.0,38.0,1.0
51,50,3.0,14.0,4.0,9.0,1.0,0.0,38.0,1.0
37,60,5.0,10.0,4.0,9.0,1.0,0.0,38.0,1.0
54,40,3.0,12.0,0.0,9.0,1.0,0.0,38.0,1.0
44,50,3.0,9.0,0.0,3.0,4.0,1.0,38.0,1.0
43,40,3.0,12.0,0.0,3.0,4.0,0.0,38.0,1.0
51,40,3.0,15.0,0.0,0.0,4.0,0.0,38.0,1.0
43,40,3.0,12.0,0.0,9.0,4.0,0.0,38.0,1.0
71,15,3.0,11.0,2.0,9.0,0.0,1.0,38.0,0.0
48,70,3.0,9.0,3.0,11.0,4.0,0.0,38.0,1.0
71,52,3.0,11.0,2.0,11.0,0.0,1.0,38.0,0.0
73,40,5.0,11.0,2.0,4.0,0.0,1.0,39.0,0.0
68,40,3.0,15.0,2.0,9.0,5.0,0.0,38.0,0.0
67,40,3.0,15.0,2.0,9.0,0.0,1.0,38.0,0.0
40,45,5.0,14.0,4.0,9.0,1.0,1.0,38.0,1.0
50,72,3.0,11.0,6.0,11.0,1.0,0.0,38.0,1.0
51,39,6.0,8.0,0.0,12.0,1.0,1.0,38.0,1.0
42,40,3.0,15.0,4.0,3.0,1.0,0.0,38.0,1.0
39,45,3.0,12.0,4.0,11.0,1.0,1.0,38.0,1.0
32,50,3.0,9.0,4.0,3.0,2.0,1.0,38.0,1.0
53,45,3.0,15.0,5.0,2.0,1.0,1.0,38.0,1.0
40,40,1.0,15.0,4.0,10.0,1.0,1.0,38.0,1.0
38,45,3.0,9.0,4.0,11.0,1.0,0.0,38.0,1.0
33,42,3.0,8.0,5.0,2.0,1.0,1.0,38.0,1.0
43,70,3.0,7.0,0.0,2.0,1.0,1.0,38.0,1.0
50,40,4.0,1.0,4.0,3.0,2.0,1.0,38.0,1.0
44,6,3.0,15.0,2.0,0.0,5.0,0.0,38.0,1.0
51,40,5.0,9.0,2.0,11.0,0.0,1.0,2.0,1.0
41,40,3.0,14.0,2.0,9.0,0.0,1.0,38.0,1.0
60,70,4.0,8.0,2.0,6.0,0.0,1.0,38.0,1.0
37,60,3.0,12.0,2.0,3.0,0.0,1.0,38.0,1.0
55,35,4.0,14.0,2.0,9.0,0.0,1.0,11.0,1.0
39,60,4.0,9.0,2.0,11.0,0.0,1.0,38.0,1.0
42,60,4.0,14.0,2.0,9.0,0.0,1.0,38.0,1.0
49,55,3.0,9.0,2.0,11.0,0.0,1.0,38.0,1.0
47,50,5.0,11.0,2.0,3.0,0.0,1.0,38.0,1.0
41,45,1.0,14.0,2.0,9.0,0.0,1.0,38.0,1.0
55,50,4.0,9.0,2.0,3.0,0.0,1.0,38.0,1.0
39,65,3.0,12.0,2.0,3.0,5.0,0.0,38.0,1.0
42,60,3.0,9.0,2.0,3.0,0.0,1.0,38.0,1.0
41,12,3.0,8.0,2.0,9.0,0.0,1.0,38.0,1.0
46,65,3.0,12.0,2.0,11.0,0.0,1.0,38.0,1.0
40,45,3.0,12.0,2.0,3.0,0.0,1.0,38.0,1.0
32,48,3.0,9.0,2.0,9.0,0.0,1.0,38.0,1.0
41,55,4.0,15.0,2.0,3.0,0.0,1.0,38.0,1.0
60,80,4.0,14.0,2.0,9.0,0.0,1.0,38.0,1.0
31,70,3.0,12.0,2.0,3.0,0.0,1.0,35.0,1.0
58,40,5.0,15.0,2.0,4.0,0.0,1.0,38.0,1.0
37,50,4.0,9.0,2.0,11.0,0.0,1.0,38.0,1.0
44,50,5.0,9.0,2.0,3.0,0.0,1.0,38.0,1.0
39,50,5.0,14.0,2.0,9.0,0.0,1.0,38.0,1.0
43,55,0.0,14.0,2.0,9.0,0.0,1.0,38.0,1.0
55,50,4.0,9.0,2.0,3.0,0.0,1.0,38.0,1.0
44,55,4.0,12.0,2.0,9.0,0.0,1.0,38.0,1.0
39,67,3.0,14.0,2.0,9.0,0.0,1.0,18.0,1.0
46,40,5.0,9.0,2.0,11.0,0.0,1.0,38.0,1.0
39,99,3.0,15.0,2.0,4.0,0.0,1.0,38.0,1.0
62,60,4.0,9.0,2.0,4.0,0.0,1.0,38.0,1.0
31,40,5.0,11.0,2.0,7.0,5.0,0.0,38.0,1.0
46,35,3.0,9.0,2.0,0.0,0.0,1.0,29.0,1.0
46,80,5.0,14.0,2.0,9.0,0.0,1.0,38.0,1.0
39,40,4.0,8.0,2.0,2.0,0.0,1.0,38.0,1.0
39,99,3.0,14.0,2.0,11.0,0.0,1.0,38.0,1.0
59,45,3.0,10.0,2.0,9.0,0.0,1.0,38.0,1.0
50,60,4.0,14.0,2.0,9.0,0.0,1.0,38.0,1.0
46,55,3.0,10.0,2.0,9.0,0.0,1.0,38.0,1.0
53,40,5.0,9.0,2.0,3.0,0.0,1.0,38.0,1.0
50,30,5.0,14.0,2.0,9.0,0.0,1.0,38.0,1.0
41,55,4.0,14.0,2.0,3.0,5.0,0.0,38.0,1.0
36,45,3.0,9.0,2.0,11.0,0.0,1.0,38.0,1.0
38,90,3.0,14.0,2.0,9.0,0.0,1.0,38.0,1.0
54,50,3.0,15.0,2.0,11.0,0.0,1.0,38.0,1.0
50,20,3.0,9.0,2.0,3.0,5.0,0.0,38.0,1.0
47,60,3.0,9.0,2.0,3.0,0.0,1.0,38.0,1.0
47,45,4.0,14.0,2.0,9.0,0.0,1.0,38.0,1.0
67,40,3.0,9.0,6.0,3.0,1.0,1.0,38.0,1.0
67,75,4.0,9.0,2.0,3.0,0.0,1.0,38.0,1.0
72,25,5.0,10.0,2.0,9.0,0.0,1.0,38.0,1.0
72,6,3.0,10.0,2.0,9.0,0.0,1.0,38.0,1.0
46,50,4.0,12.0,2.0,3.0,0.0,1.0,38.0,1.0
78,40,4.0,9.0,2.0,3.0,0.0,1.0,38.0,1.0
71,60,4.0,9.0,2.0,3.0,0.0,1.0,38.0,1.0
83,55,4.0,9.0,2.0,3.0,0.0,1.0,38.0,1.0
68,40,3.0,12.0,2.0,3.0,0.0,1.0,38.0,1.0
26,45,3.0,8.0,2.0,0.0,0.0,1.0,38.0,0.0
68,60,6.0,10.0,2.0,9.0,0.0,1.0,38.0,1.0
49,40,4.0,11.0,2.0,0.0,5.0,0.0,38.0,1.0
36,60,3.0,11.0,2.0,9.0,0.0,1.0,38.0,0.0
70,12,5.0,9.0,2.0,2.0,0.0,1.0,38.0,1.0
27,20,3.0,15.0,2.0,0.0,5.0,0.0,38.0,0.0
35,40,1.0,15.0,2.0,3.0,0.0,1.0,38.0,0.0
23,40,3.0,11.0,2.0,11.0,0.0,1.0,38.0,0.0
81,26,3.0,11.0,2.0,3.0,0.0,1.0,38.0,1.0
66,25,5.0,10.0,2.0,11.0,0.0,1.0,38.0,1.0
71,45,3.0,11.0,2.0,3.0,0.0,1.0,38.0,1.0
68,55,3.0,15.0,2.0,11.0,0.0,1.0,38.0,1.0
68,42,6.0,12.0,2.0,9.0,0.0,1.0,38.0,1.0
65,40,3.0,9.0,2.0,9.0,0.0,1.0,38.0,1.0
52,40,3.0,11.0,2.0,11.0,0.0,1.0,38.0,0.0
40,50,4.0,7.0,2.0,2.0,0.0,1.0,38.0,0.0
68,35,3.0,9.0,2.0,9.0,0.0,1.0,38.0,1.0
21,48,3.0,15.0,2.0,3.0,0.0,1.0,38.0,0.0
35,40,3.0,11.0,2.0,2.0,0.0,1.0,38.0,0.0
70,50,4.0,9.0,2.0,3.0,0.0,1.0,38.0,1.0
61,50,5.0,11.0,2.0,4.0,0.0,1.0,38.0,0.0
65,65,4.0,11.0,2.0,4.0,0.0,1.0,38.0,0.0
46,45,3.0,4.0,0.0,2.0,1.0,0.0,38.0,0.0
26,55,1.0,9.0,4.0,9.0,1.0,1.0,38.0,0.0
